X,Y,ID
633479.42,2136306.53,LIND
633407.5566,2136260.022,LIND
633422.5988,2136276.626,LIND
633442.7491,2136284.113,LIND
633466.9535,2136303.672,LIND
633474.3529,2136332.724,LIND
633486.658,2136350.255,COLIN
633501.8292,2136358.025,COLIN
633518.9096,2136275.536,LIND
633464.3444,2136375.696,RIO
633449.1574,2136361.466,RIO
633445.8779,2136345.411,RIO
633441.5329,2136330.885,RIO
633419.5218,2136322.184,RIO
633409.1884,2136297.736,RIO
633394.4244,2136288.151,RIO
633323.8377,2136243.223,LIND
633346.8072,2136295.121,LIND
633341.8592,2136286.236,LIND
633289.561,2136281.632,LIND
633288.1641,2136281.253,LIND
633254.5444,2136311.776,COLIN
633225.8625,2136340.192,COLIN
633216.0612,2136352.924,RIO
633242.3519,2136328.794,RIO
633304.7691,2136262.746,LIND
633276.6271,2136312.179,RIO
633315.1183,2136297.912,LIND
633324.4079,2136307.646,LIND
633313.7524,2136330.603,RIO
633340.7437,2136334.909,RIO
633348.1726,2136301.244,LIND
633375.1064,2136335.565,RIO
633377.676,2136303.72,LIND
633559.2418,2136088.992,LIND
633561.397,2136111.73,LIND
633563.0308,2136118.318,COLIN
633566.7017,2136143.332,COLIN
633566.7423,2136141.448,COLIN
633564.0406,2136122.308,COLIN
633561.1374,2136104.012,LIND
633561.6241,2136105.137,LIND
633561.825,2136101.017,LIND
633567.2681,2136122.35,LIND
633578.8237,2136164.039,LIND
633559.2418,2136188.197,LIND
633575.3244,2136249.812,LIND
633564.2097,2136247.027,LIND
633562.1844,2136206.815,LIND
633567.3578,2136231.604,LIND
633561.8913,2136200.075,LIND
